,,,,,,,,,,
국어,수학,영어,한국사,사회,과학,과학탐구실험,정보,체육,음악,미술
,1사회(역사/도덕포함),통합사회,3,94/68.3(11.9),A(114),1,,,,
,1과학,통합과학,4,84/59.3(15.9),A(114),2,,,,
,1과학,과학탐구실험,1,100/94.1(6.4),A(114),,,,,
,1기술・가정/제2외국어/한문/교양,정보,2,83/68.7(11.3),B(114),2,,,,
2,국어,국어,4,90/63.1(18.7),A(112),2,,,,
,2수학,수학,4,74/56.6(16.6),B(112),3,,,,
,2영어,영어,3,90/58.0(24.7),A(112),3,,,,
,2한국사,한국사,3,91/64.9(16.7),A(112),2,,,,
,2사회(역사/도덕포함),통합사회,3,85/64.2(15.0),A(112),2,,,,
,2과학,통합과학,4,90/62.8(16.9),A(112),2,,,,
,2과학,과학탐구실험,1,91/77.4(11.7),A(112),,,,,
,2기술・가정/제2외국어/한문/교양,정보,2,90/74.7(14.0),A(112),2,,,,
